,CN_PPI,CN_IP,US_PPI_YoY,US_IP_YoY
2016-02-01,-4.9,105.4,0.09124087591241281,-3.1193297695960798
2016-03-01,-4.3,106.8,-0.09107468123861207,-3.515311400177057
2016-04-01,-3.4,106.0,0.27372262773723843,-2.6579036961380753
2016-05-01,-2.8,106.0,0.09090909090907484,-2.448153056399993
2016-06-01,-2.6,106.2,0.27198549410698547,-1.678117946525337
2016-07-01,-1.7,106.0,0.0,-2.196738284260069
2016-08-01,-0.8,106.3,0.0,-2.164263084601936
2016-09-01,0.1,106.1,0.6369426751592355,-1.9939516469206886
2016-10-01,1.2,106.1,1.1861313868613221,-1.5023811304759715
2016-11-01,3.3,106.2,1.2762078395624377,-1.1862778785850958
2016-12-01,5.5,106.0,1.642335766423364,-0.02049641716570516
2017-02-01,7.8,106.3,2.0054694621695512,-0.6864591168616152
2017-03-01,7.6,107.6,2.1877848678213185,0.7162067590550603
2017-04-01,6.4,106.5,2.456778889899902,1.3993011097695573
2017-05-01,5.5,106.5,2.1798365122615904,1.7500792534729248
2017-06-01,5.5,107.6,1.8083182640144635,1.4803308546539107
2017-07-01,5.5,106.4,1.9909502262443368,1.1187969195710634
2017-08-01,6.3,106.0,2.5385312783318126,0.8523014668689877
2017-09-01,6.9,106.6,2.622061482820981,1.0630336308315114
2017-10-01,6.9,106.2,2.705139765554554,2.2919955326540453
2017-11-01,5.8,106.1,2.880288028802891,2.9662701539719283
2017-12-01,4.9,106.2,2.6929982046678624,2.467143465957866
2018-02-01,3.7,107.2,2.8596961572832758,3.3994953469032696
2018-03-01,3.1,106.0,2.8545941123996554,3.224806264183644
2018-04-01,3.4,107.0,2.5754884547069423,3.309758614070435
2018-05-01,4.1,106.8,3.0222222222222372,2.2584201444366236
2018-06-01,4.7,106.0,3.285968028419184,2.8410387544831828
2018-07-01,4.6,106.0,3.2830523513753374,3.2543243815604805
2018-08-01,4.1,106.1,3.006189213085775,4.353587280888749
2018-09-01,3.6,105.8,2.8193832599118895,4.313826088176409
2018-10-01,3.3,105.9,3.160667251975413,2.930867401734427
2018-11-01,2.7,105.4,2.7121609798775204,2.7666629800210174
2018-12-01,0.9,105.7,2.622377622377625,2.5912536810940523
2019-02-01,0.1,105.3,1.8245004344048743,1.1096417703535089
2019-03-01,0.4,108.5,1.994796183868175,0.6545559146318158
2019-04-01,0.9,105.4,2.3376623376623495,-1.0247462328067725
2019-05-01,0.6,105.0,2.070750647109576,-0.010156011968476264
2019-06-01,0.0,106.3,1.6337059329320835,-0.7369328862962377
2019-07-01,-0.3,104.8,1.8041237113401998,-1.3774541767684445
2019-08-01,-0.8,104.4,1.8025751072961338,-1.3396749291328724
2019-09-01,-1.2,105.8,1.371036846615259,-1.7374573008364869
2019-10-01,-1.6,104.7,1.106382978723408,-2.4594751580988228
2019-11-01,-1.4,106.2,1.0221465076660996,-2.047601522464615
2019-12-01,-0.5,106.9,1.3628620102214661,-2.2991807373363926
2020-02-01,-0.5,86.5,1.1945392491467421,-1.4232217750208775
2020-03-01,-1.5,98.9,0.3401360544217802,-5.315054964389065
2020-04-01,-3.1,103.9,-1.3536379018612599,-17.318282261376304
2020-05-01,-3.7,104.4,-0.9298393913778513,-16.047738104539413
2020-06-01,-3.0,104.8,-0.5922165820642977,-10.586064673581452
2020-07-01,-2.4,104.8,-0.25316455696202667,-6.783544959427434
2020-08-01,-2.0,105.6,-0.1686340640809303,-6.512241935326724
2020-09-01,-2.1,106.9,0.4226542688081203,-6.183101854793705
2020-10-01,-2.1,106.9,0.5050505050505194,-4.622683457542831
2020-11-01,-1.5,107.0,0.7588532883642474,-4.763324870606622
2020-12-01,-0.4,107.3,0.8403361344537785,-3.28150457766595
2021-03-01,4.4,114.1,4.067796610169494,1.0038210492383515
2021-04-01,6.8,109.8,6.346483704974282,16.55213518144698
2021-05-01,9.0,108.8,6.91126279863481,15.673379835366053
2021-06-01,8.8,108.3,7.404255319148945,8.958396565691418
2021-07-01,9.0,106.4,7.8561759729272485,5.4998863464161385
2021-08-01,9.5,105.3,8.617398648648656,4.261168528131454
2021-09-01,10.7,103.1,8.77609427609427,3.0124970172007215
2021-10-01,13.5,103.5,8.915410385259626,3.5628709708763973
2021-11-01,12.9,103.8,10.020920502092046,3.897545981936834
2021-12-01,10.3,104.3,10.21666666666665,2.2463731281071153
2022-03-01,8.3,105.0,11.593648208469066,3.0544104015221674
2022-04-01,8.0,97.1,11.107258064516135,2.923435475508507
2022-05-01,6.4,100.7,10.944134078212286,1.9110298059100916
2022-06-01,6.1,103.9,11.1513470681458,1.2217594016755706
2022-07-01,4.2,103.8,9.688122617385432,0.968659945597028
2022-08-01,2.3,104.2,8.671648406335763,1.0521402147261716
2022-09-01,0.9,106.3,8.492099113181538,2.462018715752601
2022-10-01,-1.3,105.0,8.178707370525618,1.0648183730078253
2022-11-01,-1.3,102.2,7.3664194713823905,0.08902953837490735
2022-12-01,-0.7,101.3,6.37683350975351,-0.8016099812473643
